ItemName, TestTimes, TestResult, ErrorCode
BT,1,OK,E_ATADLL_RESULT_SUCCESS
SW Version,1,OK,E_ATADLL_RESULT_SUCCESS
Receiver,1,OK,E_ATADLL_RESULT_SUCCESS
Speaker,1,OK,E_ATADLL_RESULT_SUCCESS
GPS,1,Fail,E_ATADLL_RESULT_FAILED
LCM,1,OK,E_ATADLL_RESULT_SUCCESS
Main Camera,1,OK,E_ATADLL_RESULT_SUCCESS
Sub Camera,1,Fail,E_ATADLL_RESULT_FAILED
M-Sensor,1,Fail,E_ATADLL_RESULT_NOT_SUPPORT
ALSPS,1,OK,E_ATADLL_RESULT_SUCCESS
WIFI,1,OK,E_ATADLL_RESULT_SUCCESS
Barcode,1,OK,E_ATADLL_RESULT_SUCCESS
GPS_CALI,1,OK,E_ATADLL_RESULT_SUCCESS
